s,L,o_s,o_r,g,G
1601,1.470980000000000e-04,4.331788888888889e-05,4.186933333333329e-05,1.300337103673227e-04,1.218696520684701e-10
1633,1.470980000000000e-04,4.315655555555554e-05,4.172777777777782e-05,1.300337103673227e-04,1.218696520684701e-10
1665,1.470980000000000e-04,4.325433333333331e-05,4.177422222222220e-05,1.300337103673227e-04,1.218696520684701e-10
1697,1.470980000000000e-04,4.322122222222222e-05,4.178366666666668e-05,1.300337103673227e-04,1.218696520684701e-10
1729,1.470980000000000e-04,4.309655555555548e-05,4.167522222222218e-05,1.300337103673227e-04,1.218696520684701e-10
1761,1.470980000000000e-04,4.307577777777775e-05,4.178066666666668e-05,1.300337103673227e-04,1.218696520684701e-10
1793,1.470980000000000e-04,4.296055555555559e-05,4.173622222222226e-05,1.300337103673227e-04,1.218696520684701e-10
1825,1.470980000000000e-04,4.326122222222230e-05,4.158100000000005e-05,1.300337103673227e-04,1.218696520684701e-10
1857,1.470980000000000e-04,4.332755555555558e-05,4.187633333333332e-05,1.300337103673227e-04,1.218696520684701e-10
1889,1.470980000000000e-04,4.334000000000003e-05,4.196611111111112e-05,1.300337103673227e-04,1.218696520684701e-10
1921,1.470980000000000e-04,4.282544444444441e-05,4.233166666666664e-05,1.300337103673227e-04,1.218696520684701e-10
1953,1.470980000000000e-04,4.348400000000001e-05,4.163755555555556e-05,1.300337103673227e-04,1.218696520684701e-10
1985,1.470980000000000e-04,4.281933333333337e-05,4.179433333333337e-05,1.300337103673227e-04,1.218696520684701e-10
2017,1.470980000000000e-04,4.356711111111107e-05,4.147822222222222e-05,1.300337103673227e-04,1.218696520684701e-10
2049,1.470980000000000e-04,4.312955555555562e-05,4.187711111111113e-05,1.300337103673227e-04,1.218696520684701e-10
2081,1.470980000000000e-04,4.117511111111111e-05,4.169355555555555e-05,1.300337103673227e-04,1.218696520684701e-10
2113,1.470980000000000e-04,4.241855555555555e-05,4.174955555555556e-05,1.300337103673227e-04,1.218696520684701e-10
2145,1.470980000000000e-04,4.264777777777776e-05,4.179955555555551e-05,1.300337103673227e-04,1.218696520684701e-10
2177,1.470980000000000e-04,4.264266666666659e-05,4.168266666666663e-05,1.300337103673227e-04,1.218696520684701e-10
2209,1.470980000000000e-04,4.274977777777771e-05,4.180433333333328e-05,1.300337103673227e-04,1.218696520684701e-10
2241,1.470980000000000e-04,4.273855555555558e-05,4.216866666666666e-05,1.300337103673227e-04,1.218696520684701e-10
2273,1.470980000000000e-04,4.265344444444444e-05,4.173466666666666e-05,1.300337103673227e-04,1.218696520684701e-10
2305,1.470980000000000e-04,4.200611111111111e-05,4.167177777777776e-05,1.300337103673227e-04,1.218696520684701e-10
2337,1.470980000000000e-04,4.316455555555556e-05,4.163511111111118e-05,1.300337103673227e-04,1.218696520684701e-10
2369,1.470980000000000e-04,4.264166666666666e-05,4.178155555555551e-05,1.300337103673227e-04,1.218696520684701e-10
2401,1.470980000000000e-04,4.258344444444435e-05,4.184633333333333e-05,1.300337103673227e-04,1.218696520684701e-10
2433,1.470980000000000e-04,4.248866666666666e-05,4.174344444444447e-05,1.300337103673227e-04,1.218696520684701e-10
2465,1.470980000000000e-04,4.272799999999997e-05,4.167977777777772e-05,1.300337103673227e-04,1.218696520684701e-10
2497,1.470980000000000e-04,4.236888888888891e-05,4.177811111111116e-05,1.300337103673227e-04,1.218696520684701e-10
2529,1.470980000000000e-04,4.247022222222220e-05,4.179711111111107e-05,1.300337103673227e-04,1.218696520684701e-10
2561,1.470980000000000e-04,4.255611111111109e-05,4.193355555555554e-05,1.300337103673227e-04,1.218696520684701e-10
2593,1.470980000000000e-04,4.246788888888893e-05,4.209222222222222e-05,1.300337103673227e-04,1.218696520684701e-10
2625,1.470980000000000e-04,4.276755555555557e-05,4.201166666666666e-05,1.300337103673227e-04,1.218696520684701e-10
2657,1.470980000000000e-04,4.257477777777780e-05,4.176544444444445e-05,1.300337103673227e-04,1.218696520684701e-10
2689,1.470980000000000e-04,4.268911111111118e-05,4.217033333333329e-05,1.300337103673227e-04,1.218696520684701e-10
2721,1.470980000000000e-04,4.239955555555551e-05,4.202199999999997e-05,1.300337103673227e-04,1.218696520684701e-10
2753,1.470980000000000e-04,4.300322222222215e-05,4.209611111111106e-05,1.300337103673227e-04,1.218696520684701e-10
2785,1.470980000000000e-04,4.286188888888891e-05,4.109133333333331e-05,1.300337103673227e-04,1.218696520684701e-10
2817,1.470980000000000e-04,4.262166666666661e-05,4.166144444444440e-05,1.300337103673227e-04,1.218696520684701e-10
2849,1.470980000000000e-04,4.170622222222221e-05,4.248833333333331e-05,1.300337103673227e-04,1.218696520684701e-10
2881,1.470980000000000e-04,4.183844444444448e-05,4.203500000000000e-05,1.300337103673227e-04,1.218696520684701e-10
2913,1.470980000000000e-04,4.248622222222223e-05,4.181088888888891e-05,1.300337103673227e-04,1.218696520684701e-10
2945,1.470980000000000e-04,4.240377777777776e-05,4.185477777777776e-05,1.300337103673227e-04,1.218696520684701e-10
2977,1.470980000000000e-04,4.248200000000004e-05,4.169355555555555e-05,1.300337103673227e-04,1.218696520684701e-10
3009,1.470980000000000e-04,4.317344444444442e-05,4.259655555555551e-05,1.300337103673227e-04,1.218696520684701e-10
3041,1.470980000000000e-04,4.239788888888891e-05,4.218411111111112e-05,1.300337103673227e-04,1.218696520684701e-10
3073,1.470980000000000e-04,4.241333333333330e-05,4.175411111111110e-05,1.300337103673227e-04,1.218696520684701e-10
3105,1.470980000000000e-04,4.218933333333335e-05,4.155800000000003e-05,1.300337103673227e-04,1.218696520684701e-10
3137,1.470980000000000e-04,4.242033333333331e-05,4.170355555555553e-05,1.300337103673227e-04,1.218696520684701e-10
3169,1.470980000000000e-04,4.258900000000001e-05,4.167522222222218e-05,1.300337103673227e-04,1.218696520684701e-10
3201,1.470980000000000e-04,4.220955555555557e-05,4.185766666666661e-05,1.300337103673227e-04,1.218696520684701e-10
