s,L,o_s,o_r,g,G
545,1.470980000000000e-05,4.258355555555557e-06,4.195500000000001e-06,1.300337103673227e-05,1.218696520684701e-11
577,1.470980000000000e-05,4.269733333333338e-06,4.196866666666670e-06,1.300337103673227e-05,1.218696520684701e-11
609,1.470980000000000e-05,4.276966666666666e-06,4.168088888888891e-06,1.300337103673227e-05,1.218696520684701e-11
641,1.470980000000000e-05,4.317499999999994e-06,4.206666666666663e-06,1.300337103673227e-05,1.218696520684701e-11
673,1.470980000000000e-05,4.311155555555558e-06,4.200444444444445e-06,1.300337103673227e-05,1.218696520684701e-11
705,1.470980000000000e-05,4.306822222222222e-06,4.180322222222228e-06,1.300337103673227e-05,1.218696520684701e-11
737,1.470980000000000e-05,4.342800000000002e-06,4.188833333333332e-06,1.300337103673227e-05,1.218696520684701e-11
769,1.470980000000000e-05,4.334966666666672e-06,4.174200000000001e-06,1.300337103673227e-05,1.218696520684701e-11
801,1.470980000000000e-05,4.301144444444448e-06,4.191033333333329e-06,1.300337103673227e-05,1.218696520684701e-11
833,1.470980000000000e-05,4.353644444444447e-06,4.168611111111111e-06,1.300337103673227e-05,1.218696520684701e-11
865,1.470980000000000e-05,4.342344444444443e-06,4.170066666666668e-06,1.300337103673227e-05,1.218696520684701e-11
897,1.470980000000000e-05,4.306311111111119e-06,4.150444444444447e-06,1.300337103673227e-05,1.218696520684701e-11
929,1.470980000000000e-05,4.329088888888890e-06,4.171900000000001e-06,1.300337103673227e-05,1.218696520684701e-11
961,1.470980000000000e-05,4.324888888888888e-06,4.180655555555554e-06,1.300337103673227e-05,1.218696520684701e-11
993,1.470980000000000e-05,4.297466666666664e-06,4.189911111111110e-06,1.300337103673227e-05,1.218696520684701e-11
1025,1.470980000000000e-05,4.335911111111109e-06,4.178555555555555e-06,1.300337103673227e-05,1.218696520684701e-11
1057,1.470980000000000e-05,4.339177777777783e-06,4.180066666666663e-06,1.300337103673227e-05,1.218696520684701e-11
1089,1.470980000000000e-05,4.335288888888890e-06,4.194066666666667e-06,1.300337103673227e-05,1.218696520684701e-11
1121,1.470980000000000e-05,4.303144444444445e-06,4.210466666666664e-06,1.300337103673227e-05,1.218696520684701e-11
1153,1.470980000000000e-05,4.275811111111113e-06,4.197766666666664e-06,1.300337103673227e-05,1.218696520684701e-11
1185,1.470980000000000e-05,4.304599999999999e-06,4.173733333333333e-06,1.300337103673227e-05,1.218696520684701e-11
1217,1.470980000000000e-05,4.308899999999995e-06,4.213877777777776e-06,1.300337103673227e-05,1.218696520684701e-11
1249,1.470980000000000e-05,4.372811111111116e-06,4.202122222222223e-06,1.300337103673227e-05,1.218696520684701e-11
1281,1.470980000000000e-05,4.277577777777777e-06,4.188266666666665e-06,1.300337103673227e-05,1.218696520684701e-11
1313,1.470980000000000e-05,4.251355555555556e-06,4.213322222222224e-06,1.300337103673227e-05,1.218696520684701e-11
1345,1.470980000000000e-05,4.345433333333327e-06,4.189555555555553e-06,1.300337103673227e-05,1.218696520684701e-11
1377,1.470980000000000e-05,4.284522222222221e-06,4.171355555555557e-06,1.300337103673227e-05,1.218696520684701e-11
1409,1.470980000000000e-05,4.327400000000002e-06,4.185255555555550e-06,1.300337103673227e-05,1.218696520684701e-11
1441,1.470980000000000e-05,4.299311111111110e-06,4.200277777777782e-06,1.300337103673227e-05,1.218696520684701e-11
1473,1.470980000000000e-05,4.284311111111111e-06,4.187122222222221e-06,1.300337103673227e-05,1.218696520684701e-11
1505,1.470980000000000e-05,4.331155555555554e-06,4.172322222222222e-06,1.300337103673227e-05,1.218696520684701e-11
1537,1.470980000000000e-05,4.311155555555558e-06,4.184111111111107e-06,1.300337103673227e-05,1.218696520684701e-11
1569,1.470980000000000e-05,4.335866666666667e-06,4.168088888888891e-06,1.300337103673227e-05,1.218696520684701e-11
1601,1.470980000000000e-05,4.331788888888889e-06,4.186933333333329e-06,1.300337103673227e-05,1.218696520684701e-11
1633,1.470980000000000e-05,4.315655555555554e-06,4.172777777777782e-06,1.300337103673227e-05,1.218696520684701e-11
1665,1.470980000000000e-05,4.325433333333331e-06,4.177422222222220e-06,1.300337103673227e-05,1.218696520684701e-11
1697,1.470980000000000e-05,4.322122222222222e-06,4.178366666666668e-06,1.300337103673227e-05,1.218696520684701e-11
1729,1.470980000000000e-05,4.309655555555548e-06,4.167522222222218e-06,1.300337103673227e-05,1.218696520684701e-11
1761,1.470980000000000e-05,4.307577777777775e-06,4.178066666666668e-06,1.300337103673227e-05,1.218696520684701e-11
