s,L,o_s,o_r,g,G
131073,1.539810000000000e-05,4.484955555555546e-06,3.604404485555555e-02,1.404071482903282e-05,1.207667585433873e-11
135169,1.539810000000000e-05,5.013477777777778e-06,3.612330092222223e-02,1.404071482903282e-05,1.207667585433873e-11
139265,1.539810000000000e-05,4.295477777777775e-06,3.620239075555556e-02,1.404071482903282e-05,1.207667585433873e-11
143361,1.539810000000000e-05,4.735522222222213e-06,3.628189991111111e-02,1.404071482903282e-05,1.207667585433873e-11
147457,1.539810000000000e-05,4.608911111111111e-06,3.636054522222223e-02,1.404071482903282e-05,1.207667585433873e-11
151553,1.539810000000000e-05,4.504444444444446e-06,3.643944665555555e-02,1.404071482903282e-05,1.207667585433873e-11
155649,1.539810000000000e-05,4.950566666666646e-06,3.651813242222222e-02,1.404071482903282e-05,1.207667585433873e-11
159745,1.539810000000000e-05,4.366188888888883e-06,3.659748222222222e-02,1.404071482903282e-05,1.207667585433873e-11
163841,1.539810000000000e-05,5.056377777777784e-06,3.667617393333333e-02,1.404071482903282e-05,1.207667585433873e-11
167937,1.539810000000000e-05,4.557811111111115e-06,3.675469527777778e-02,1.404071482903282e-05,1.207667585433873e-11
172033,1.539810000000000e-05,4.385799999999994e-06,3.683468066666666e-02,1.404071482903282e-05,1.207667585433873e-11
176129,1.539810000000000e-05,4.986333333333330e-06,3.691442693333333e-02,1.404071482903282e-05,1.207667585433873e-11
180225,1.539810000000000e-05,4.417533333333343e-06,3.699394283333333e-02,1.404071482903282e-05,1.207667585433873e-11
184321,1.539810000000000e-05,4.838977777777781e-06,3.707342861111111e-02,1.404071482903282e-05,1.207667585433873e-11
188417,1.539810000000000e-05,4.463144444444457e-06,3.715317833333334e-02,1.404071482903282e-05,1.207667585433873e-11
192513,1.539810000000000e-05,4.460722222222234e-06,3.723229744444444e-02,1.404071482903282e-05,1.207667585433873e-11
196609,1.539810000000000e-05,5.030088888888896e-06,3.731291384444444e-02,1.404071482903282e-05,1.207667585433873e-11
200705,1.539810000000000e-05,4.681444444444441e-06,3.739471665555556e-02,1.404071482903282e-05,1.207667585433873e-11
